wavelength_um,ZodiScale,ZodiOffset_nWm2sr
4.413,1.07539161406296,41.5268219116263
4.41712790142467,1.08438200606332,41.2634769620015
4.42501922599202,1.09988977242662,40.8386104847481
4.4330655032045,1.11199061519511,40.9671741193146
4.44109524268542,1.11824558455838,41.1125053090488
4.44930084753812,1.12215963736543,41.1572176957144
4.45725138307239,1.12429777446513,41.1625127506761
4.4653416763641,1.12549034039531,41.1948485557379
4.47334330951689,1.12110165891122,40.8943590163261
4.48217858846133,1.11372097196912,40.6559013558781
4.49019541571038,1.10373858478225,40.4469610899324
4.49855363336111,1.09375527402231,39.9324180403822
4.50678329054504,1.08266819560478,39.6380290953916
4.51509535212018,1.0739054776887,39.1976590941464
4.5233115491874,1.06540564797443,38.9743091119333
4.53160564992839,1.05703679608035,38.7534741811571
4.53970568862629,1.04885863928621,38.7759892531922
4.54824373126643,1.04074605038477,38.6773680165417
4.55687691326412,1.0328140624293,38.4006335057531
4.56519193475603,1.02864605452644,38.2240091278495
4.57363941984702,1.02401727776984,38.1029900273593
4.58198263854528,1.02071307512661,38.0202707099631
4.59059132924982,1.02068229822471,38.1568450692926
4.5987651803297,1.02335137787431,38.256018949769
4.6078935623692,1.02688500401943,38.3221564361556
4.61631751308301,1.03058730073092,38.3827569745563
4.62524308392405,1.03480190317125,38.5655312281252
4.63385208159901,1.04017942934239,38.7998764753712
4.64207933188508,1.04503272078369,38.894744768321
4.65101304924727,1.05153541508325,39.0189019629489
4.65976413856913,1.05833015443672,39.0615781647894
4.66804367795918,1.06361432681352,39.4824888679165
4.67708018263575,1.06834250672277,39.4299817219832
4.68507459516073,1.07366579943438,39.8513977947468
4.69428103819659,1.07667575557526,39.9463378698501
4.70306844037368,1.08049179752343,40.2845973719644
4.71173180776666,1.08579191041604,40.3306958122484
4.72051981172136,1.09035797660442,40.4227626158431
4.72937129870125,1.09319886666466,40.3783799174308
4.73760965222975,1.0965849556189,40.5488228664241
4.74666259574272,1.09907861016647,40.4625848580004
4.75549710947753,1.10111764361476,40.4973266326916
4.76364639317568,1.10241277752367,40.7045014955428
4.77302047641737,1.10492967588213,40.8340841113365
4.78133164932535,1.10815670404764,40.7592292040819
4.78931510975674,1.110120560236,40.7503297662089
4.79931974606563,1.10913776370897,40.5811342285272
4.80785294917004,1.1089493028918,40.4556777364102
4.81605485215076,1.10265968554612,40.2231796172029
4.82463433611508,1.09890663008749,39.8161272167291
4.83311916519223,1.0944949943894,39.6814092815053
4.84212913682984,1.09363794301471,39.4900607603049
4.8519311338512,1.09615136069381,39.4672353921532
4.86042335858041,1.09835198795641,39.2308414337071
4.86935279622348,1.10010851283931,39.1705666449441
4.87778380682904,1.10171805914726,39.0960832876601
4.88753938140061,1.10231118390136,39.1331981412868
4.89653366141061,1.10441148821432,38.8994421771714
4.90604264273946,1.10890465522057,39.0460176799291
4.91417587054409,1.11463442601562,39.2308647491188
4.92353509481085,1.12794337800852,39.6124190152123
4.93272139040744,1.14097651868196,40.0427202202878
4.94252538436953,1.14929617021993,40.4648116319828
4.95202927216168,1.15413034290709,40.8031184086839
4.960748585449,1.15706425158463,40.9090359628037
4.97005293730812,1.15447235604148,41.1471649763688
4.98015096487863,1.14654206735978,40.9362865521636
4.98894041260972,1.13960000481708,41.4826853472109
4.99775300373338,1.13750924818345,43.7582900073621
5.001,1.13311922651342,47.0620793139283
